,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,R,F,Score,고객등급
2978,1430252160,정상회원,수지구-동천동,여,48.0,미신청,미수신,normal,40대,287,1,9027.0,5
2979,143077184,정상회원,기흥구-영덕동,여,47.0,미신청,미수신,normal,40대,224,4,11114.400000000001,5
2980,143131008,정상회원,분당구-궁내동,여,71.0,미신청,미수신,normal,70대,125,2,25463.5,4
2981,143168128,정상회원,기타-기타,여,44.0,미신청,미수신,normal,40대,27,9,73206.59999999999,3
2982,1431959680,정상회원,수지구-풍덕천동,여,29.0,미신청,미수신,normal,20대,2,4,23739.000000000004,4
2983,143231232,정상회원,수지구-풍덕천동,여,71.0,미신청,미수신,normal,70대,0,44,307631.2,2
2984,143296192,정상회원,수원 권선구-기타,여,53.0,미신청,미수신,normal,50대,133,2,24847.899999999998,4
2985,1433308992,정상회원,기타-기타,여,45.0,미신청,수신,normal,40대,71,1,9933.800000000001,5
2986,1433466752,정상회원,기타-기타,여,33.0,미신청,미수신,normal,30대,71,1,3118.6000000000004,1
2987,1433594816,정상회원,기흥구-보정동,여,40.0,미신청,미수신,normal,40대,102,1,11838.9,5
2988,1433635648,정상회원,수지구-성복동,여,42.0,신청,미수신,normal,40대,49,31,212646.59999999998,2
2989,1433695040,정상회원,수지구-풍덕천동,여,48.0,미신청,미수신,normal,40대,147,5,17799.800000000003,4
2990,1433704320,정상회원,수지구-성복동,여,38.0,미신청,미수신,normal,30대,56,4,19779.200000000004,4
2991,1433849088,정상회원,수지구-풍덕천동,여,32.0,미신청,미수신,normal,30대,6,6,23777.2,4
2992,1434133056,정상회원,수지구-상현동,여,37.0,미신청,미수신,normal,30대,11,12,30745.9,4
2993,1434198016,정상회원,수지구-상현동,여,37.0,미신청,미수신,normal,30대,13,7,29096.6,4
2994,1434231424,정상회원,수지구-풍덕천동,여,40.0,미신청,미수신,normal,40대,22,23,109085.09999999999,3
2995,143429824,정상회원,수지구-동천동,여,58.0,미신청,미수신,normal,50대,41,16,155634.9,3
2996,1434339072,정상회원,수지구-동천동,여,34.0,미신청,미수신,normal,30대,74,6,42326.40000000001,4
2997,1434444864,정상회원,수지구-풍덕천동,여,40.0,미신청,미수신,normal,40대,2,10,40887.600000000006,4
2998,1434481984,정상회원,기타-기타,여,36.0,미신청,미수신,normal,30대,266,1,198224.90000000002,2
2999,1434522816,정상회원,수지구-상현동,여,44.0,미신청,미수신,normal,40대,56,3,27168.900000000005,4
3000,1434580352,정상회원,수지구-동천동,여,48.0,미신청,미수신,normal,40대,15,8,68571.9,3
3001,1434927424,정상회원,기흥구-보정동,여,37.0,미신청,미수신,normal,30대,201,1,1548.0,1
3002,1435716224,정상회원,수지구-풍덕천동,여,36.0,미신청,미수신,normal,30대,26,20,92392.2,3
3003,1435862848,정상회원,기흥구-죽전동,여,41.0,미신청,미수신,normal,40대,1,3,11717.000000000002,5
3004,1436161664,정상회원,수지구-성복동,여,41.0,미신청,미수신,normal,40대,5,1,5435.6,5
